canonical_id,dataset_component,food_category,food_name_source,food_name_clean,test_year,weight_g_per_MJ,protein_g_per_MJ,fat_g_per_MJ,avcho_g_per_MJ,sugar_g_per_MJ,fibre_g_per_MJ,GI_pct,GL_g_per_MJ,GS_pct,GS_sem,FII_pct,FII_sem,composition_basis_kJ,actual_test_energy_kJ,response_reference,harmonization_note,source_study,source_table,source_printed_page,source_row,source_doi,source_footnote
BAO2011-018,Bao 2011 published 121,Breakfast cereals,"Lucky Charms cereal (General Mills Inc, Minneapolis, MN)","Lucky Charms cereal (General Mills Inc, Minneapolis, MN)",2004,59,4,2,48,26,2,69,33,85.0,7.0,69.0,9.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,18,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-019,Bao 2011 published 121,Breakfast cereals,"Post Grapenuts (Post Foods Inc, USA)","Post Grapenuts (Post Foods Inc, USA)",1999,69,9,1,48,8,6,75,36,79.0,6.0,110.0,12.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,19,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-020,Bao 2011 published 121,Breakfast cereals,Wheaties (General Mills Inc),Wheaties (General Mills Inc),2008,67,7,1,46,10,7,75,35,78.0,7.0,78.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,20,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-021,Bao 2011 published 121,Breakfast cereals,"Frosted Flakes (Kellogg Foods Inc, USA)","Frosted Flakes (Kellogg Foods Inc, USA)",2002,62,2,0,54,24,2,55,30,70.0,7.0,72.0,8.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,21,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-022,Bao 2011 published 121,Breakfast cereals,"Special K cereal (Kellogg Foods Inc, USA)","Special K cereal (Kellogg Foods Inc, USA)",1999,63,13,1,44,8,2,69,30,69.0,5.0,86.0,10.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,22,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-023,Bao 2011 published 121,Breakfast cereals,"Post Honey Bunches of Oats (Post Foods Inc, USA)","Post Honey Bunches of Oats (Post Foods Inc, USA)",2008,61,6,5,42,11,4,63,26,63.0,6.0,61.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,23,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-024,Bao 2011 published 121,Breakfast cereals,"7 Whole Grain Puffs (Kashi, La Jolla, CA)","7 Whole Grain Puffs (Kashi, La Jolla, CA)",2007,63,7,2,51,0,3,65,33,64.0,7.0,59.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,24,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-025,Bao 2011 published 121,Breakfast cereals,"Cheerios (General Mills Inc, USA)","Cheerios (General Mills Inc, USA)",2004,65,7,4,43,3,7,74,32,62.0,6.0,63.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,25,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-026,Bao 2011 published 121,Breakfast cereals,"All-Bran Complete Wheat Flakes (Kellogg Foods Inc, USA)","All-Bran Complete Wheat Flakes (Kellogg Foods Inc, USA)",2007,76,7,2,47,11,9,60,28,60.0,6.0,55.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,26,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-027,Bao 2011 published 121,Breakfast cereals,"Raisin Bran cereal (Kellogg Foods Inc, USA)","Raisin Bran cereal (Kellogg Foods Inc, USA)",1999,74,6,2,49,22,8,61,30,58.0,5.0,69.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,27,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-028,Bao 2011 published 121,Breakfast cereals,"Post Great Grains (Kraft Foods Inc, USA)","Post Great Grains (Kraft Foods Inc, USA)",2008,59,6,7,39,10,5,74,29,54.0,6.0,57.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,28,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-029,Bao 2011 published 121,Breakfast cereals,"Cornflakes (Kellogg Foods Inc, Australia)","Cornflakes (Kellogg Foods Inc, Australia)",1997,64,5,0,53,10,2,77,41,53.0,8.0,55.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,29,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-030,Bao 2011 published 121,Breakfast cereals,"Special K cereal (Kellogg Foods Inc, Australia)","Special K cereal (Kellogg Foods Inc, Australia)",1997,63,15,2,41,14,1,54,22,49.0,6.0,48.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,30,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-031,Bao 2011 published 121,Breakfast cereals,"Sustain (Kellogg Foods Inc, Australia)","Sustain (Kellogg Foods Inc, Australia)",1997,62,10,3,43,14,4,55,24,46.0,4.0,52.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,31,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-032,Bao 2011 published 121,Breakfast cereals,"Cracklin’ Oat Bran (Kellogg Foods Inc, USA)","Cracklin’ Oat Bran (Kellogg Foods Inc, USA)",2004,58,5,8,36,21,6,55,20,46.0,5.0,48.0,3.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,32,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-033,Bao 2011 published 121,Breakfast cereals,"Honeysmacks (Kellogg Foods Inc, Australia)","Honeysmacks (Kellogg Foods Inc, Australia)",1997,63,9,2,48,31,3,71,34,42.0,5.0,49.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,33,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-034,Bao 2011 published 121,Breakfast cereals,"Porridge (Uncle Toby’s Inc; Nestle Pty Ltd, Sydney, Australia)","Porridge (Uncle Toby’s Inc; Nestle Pty Ltd, Sydney, Australia)",1997,60,11,5,37,8,5,57,21,42.0,8.0,29.0,3.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,34,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-035,Bao 2011 published 121,Breakfast cereals,"100% Natural Granola Oats, Honey & Raisins (Quaker Oats Inc, Chicago, IL)","100% Natural Granola Oats, Honey & Raisins (Quaker Oats Inc, Chicago, IL)",2004,55,6,9,35,16,3,44,15,35.0,5.0,41.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,35,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-036,Bao 2011 published 121,Breakfast cereals,Muesli bar (Uncle Toby’s Inc),Muesli bar (Uncle Toby’s Inc),1997,63,11,5,37,17,7,56,21,30.0,5.0,34.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,36,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-037,Bao 2011 published 121,Breakfast cereals,"All-Bran original (Kellogg Foods Inc, Australia)","All-Bran original (Kellogg Foods Inc, Australia)",1997,74,12,3,43,14,14,30,13,28.0,5.0,23.0,3.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,37,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-038,Bao 2011 published 121,Bakery products,"Water crackers (Grocery Wholesalers Ltd, Yennora, Australia)","Water crackers (Grocery Wholesalers Ltd, Yennora, Australia)",1997,58,6,5,42,1,2,78,33,83.0,17.0,64.0,9.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,38,10.3945/ajcn.110.005033,
BAO2011-039,Bao 2011 published 121,Bakery products,"The Original Pancake & Waffle Mix (Aunt Jemima; Quaker Oats Inc, USA)","The Original Pancake & Waffle Mix (Aunt Jemima; Quaker Oats Inc, USA)",2004,132,6,1,51,9,1,67,34,71.0,8.0,110.0,10.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,987,39,10.3945/ajcn.110.005033,
