catalog_version,source_record_id,use,status,reasons
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-007,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-007,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-008,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-008,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-008,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-008,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-009,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-009,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-009,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-009,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-010,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-010,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-010,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-010,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-011,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-011,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-011,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-011,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-012,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-012,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-012,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-012,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-013,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-013,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-013,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-013,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-014,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-014,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-014,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-014,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-015,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-015,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-015,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-015,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-016,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-016,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-016,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-016,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-017,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-017,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-017,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-017,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-018,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-018,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-018,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-018,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-019,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-019,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-019,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-019,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-020,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-020,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-020,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-020,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-021,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-021,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-021,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-021,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-022,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-022,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-022,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-022,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-023,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-023,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-023,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-023,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-024,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-024,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-024,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-024,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-025,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-025,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-025,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-025,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-026,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-026,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-026,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-026,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-027,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-027,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-027,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-027,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-028,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-028,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-028,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-028,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-029,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-029,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-029,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-029,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-030,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-030,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-030,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-030,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-031,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-031,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-031,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-031,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-032,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-032,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-032,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-032,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-033,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-033,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-033,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-033,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-034,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-034,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-034,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-034,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-035,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-035,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-035,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-035,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-036,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-036,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-036,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-036,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-037,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-037,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-037,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-037,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-038,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-038,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-038,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-038,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-039,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-039,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-039,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-039,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-040,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-040,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-040,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-040,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-041,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-041,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-041,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-041,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-042,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-042,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-042,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-042,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-043,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-043,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-043,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-043,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-044,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-044,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-044,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-044,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-045,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-045,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-045,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-045,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-046,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-046,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-046,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-046,gi_gl_calculation,candidate,source_field_present
